Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
Autre formation,Mention complémentaire,Accueil dans transports,536,421,490,28,47,326,46,4,4,22,91,69,5,51,5,32,14,64
Autre formation,DEUST,Accueil d'excellence en tourisme,236,172,236,123,46,21,0,0,0,0,30,29,0,25,11,4,10,23
Autre formation,Mention complémentaire,Accueil réception,2030,1520,1801,95,254,1184,228,5,30,93,340,180,37,170,5,139,26,162
Autre formation,DEUST,"Action, commercialisation des services sportifs",1132,212,1021,455,335,72,111,20,26,14,55,46,8,41,29,3,9,16
Autre formation,BPJEPS,Activités aquatiques et de la natation,1212,331,954,387,294,125,258,54,57,41,113,43,11,35,16,4,15,17
Autre formation,BPJEPS,Activités de la forme,3581,819,2888,1066,773,595,693,129,153,110,76,27,12,23,5,6,12,16
Autre formation,BPJEPS,Activités équestres,200,184,190,111,31,34,10,1,1,3,10,4,0,4,3,1,0,3
Autre formation,BPJEPS,Activités gymniques,35,24,34,15,11,2,1,0,1,0,5,0,0,0,0,0,0,0
Autre formation,BPJEPS,Activités gymniques forme et force,333,71,333,135,93,53,0,0,0,0,10,10,0,9,2,2,5,2
Autre formation,DEUST,"Activités physiques et sportives adaptées : déficiences intellectuelles, troubles psychiques",414,246,414,151,111,38,0,0,0,0,20,21,0,13,6,3,4,16
Autre formation,DEUST,Activités physiques et sportives et inadaptations sociales,380,184,380,146,93,56,0,0,0,0,20,23,0,14,6,3,5,13
Autre formation,BPJEPS,Activités physiques pour tous,4598,1009,4223,1447,1295,926,374,64,83,73,183,111,18,98,33,29,36,21
Autre formation,BPJEPS,Activités sports collectifs,1445,189,1363,448,463,305,82,10,26,12,22,15,0,9,2,3,4,0
Licence,Licence - Droit-économie-gestion,Administration économique et sociale,57672,33800,51164,32494,7547,1934,6454,954,1219,930,10622,6882,2502,6614,4194,808,1612,5198
Licence,Licence - Sciences humaines et sociales,Administration économique et sociale,8823,5287,8248,5289,1205,239,575,94,110,52,1102,936,257,822,580,67,175,655
Licence,Licence - Droit-économie-gestion,Administration et Echanges internationaux,14188,8934,9982,6820,1027,191,4206,1343,724,343,1070,932,106,783,676,5,102,674
Licence,Licence - Droit-économie-gestion,Administration publique,3432,1872,3211,2084,454,149,221,42,35,27,385,238,32,197,144,26,27,143
BTS,BTS - Production,Aéronautique,12721,1428,12719,4544,3792,1728,2,0,0,0,220,218,0,190,73,46,71,38
Autre formation,Mention complémentaire,Aéronautique - option avionique,177,10,164,6,2,145,13,0,0,11,36,23,3,26,0,26,0,1
Autre formation,Mention complémentaire,Aéronautique option avions à moteur à pistons,94,6,94,1,1,87,0,0,0,0,18,16,0,15,0,14,1,3
Autre formation,Mention complémentaire,Aéronautique option avions à moteur à turbines,650,27,645,6,3,591,5,0,0,5,90,73,0,70,0,70,0,3
Autre formation,Mention complémentaire,Aéronautique option hélicoptère moteur à turbines,269,17,269,3,1,245,0,0,0,0,44,32,0,32,0,32,0,0
Autre formation,Mention complémentaire,Agent de contrôle non destructif,17,1,15,0,0,14,2,0,0,1,15,7,0,7,0,7,0,0
Autre formation,Formations d'ingénieurs,Agroalimentaire,368,258,368,306,7,0,0,0,0,0,45,45,0,37,36,0,1,37
BTS,BTSA,Agronomie : Productions végétales,6375,1885,6187,1236,1627,989,188,30,17,33,729,509,46,448,117,122,209,129
BTS,BTS - Production,Aménagement finition,1109,294,1062,55,242,452,47,0,6,23,109,77,8,74,3,50,21,23
BTS,BTSA,Aménagements paysagers,7411,1802,7136,1073,1741,2204,271,34,54,70,1162,774,56,684,122,332,230,229
Autre formation,DEUST,Analyse des milieux biologiques,137,100,137,66,44,2,0,0,0,0,22,21,0,17,4,0,13,16
BTS,BTSA,"Analyse, conduite et stratégie de l'entreprise agricole",12116,4228,11884,1455,4417,4937,225,10,34,78,2455,1842,61,1785,194,903,688,666
BTS,BTSA,Analyses agricoles biologiques et biotechnologiques,6467,4302,6193,1631,2303,775,274,44,66,12,758,648,30,568,212,101,255,468
BTS,BTSA,Analyses agricoles biologiques et biotechnologiques pour Bac pro agricole : accéder à une école d'ingénieur,74,34,61,8,7,23,13,1,0,3,12,4,0,4,0,4,0,3
BTS,BTS - Services,Analyses de biologie médicale,29132,22582,28154,7741,11234,1343,976,95,244,76,1093,981,69,794,188,56,550,850
Autre formation,DN MADE,Animation,2626,1486,2522,1151,414,184,104,23,14,14,71,68,3,44,27,3,14,49
Autre formation,DEUST,"Animation et gestion des activités physiques, sportives ou culturelles",5797,1501,5463,2405,1588,603,332,84,79,34,394,329,30,272,114,44,114,105
Autre formation,DEUST,"Animation et gestion des activités sportives, physiques ou culturelles, parcours activités aquatiques",78,23,58,26,23,2,20,4,5,2,25,15,1,14,5,2,7,5
Autre formation,DEUST,"Animation et gestion des activités sportives, physiques ou culturelles, parcours activités de pleine nature",210,43,160,61,44,20,50,12,10,3,75,47,2,37,18,7,12,6
Autre formation,DEUST,"Animation et gestion des activités sportives, physiques ou culturelles, parcours agent de développement de club sportif",163,34,77,36,16,7,83,21,24,8,35,16,5,12,6,3,3,5
