Académie de l’établissement,Code départemental de l’établissement,Code UAI de l'établissement,Coordonnées GPS de la formation,Département de l’établissement,Établissement,Région de l’établissement
Aix-Marseille,04,0040010P,"43.8367,5.7812",Alpes-de-Haute-Provence,Lycée Felix Esclangon,Provence Alpes Côte d'Azur
Aix-Marseille,04,0040027H,"",Alpes-de-Haute-Provence,Lycée Alexandra David Neel,Provence Alpes Côte d'Azur
Aix-Marseille,04,0040056P,"44.0324,6.1354",Alpes-de-Haute-Provence,Lycée agricole Digne-Carmejane,Provence Alpes Côte d'Azur
Aix-Marseille,04,0040490L,"44.0736,6.1808",Alpes-de-Haute-Provence,Lycée PIERRE-GILLES DE GENNES,Provence Alpes Côte d'Azur
Aix-Marseille,04,0040522W,"44.0966,6.2391",Alpes-de-Haute-Provence,I.U.T. d'Aix-Marseille - Site de Digne,Provence Alpes Côte d'Azur
Aix-Marseille,04,0040533H,"43.8289,5.7973",Alpes-de-Haute-Provence,Lycée Les Iscles,Provence Alpes Côte d'Azur
Aix-Marseille,05,0050003B,"44.8991,6.64",Hautes-Alpes,Lycée D'Altitude,Provence Alpes Côte d'Azur
Aix-Marseille,05,0050004C,"44.5702,6.4862",Hautes-Alpes,Lycée Honoré Romane,Provence Alpes Côte d'Azur
Aix-Marseille,05,0050005D,"44.5595,6.4856",Hautes-Alpes,Lycée professionnel Alpes et Durance Lycée des Métiers pluri-actifs du bois et de l'habitat en montagne,Provence Alpes Côte d'Azur
Aix-Marseille,05,0050006E,"44.5613,6.0758",Hautes-Alpes,Lycée Dominique Villars,Provence Alpes Côte d'Azur
Aix-Marseille,05,0050007F,"44.5659,6.0837",Hautes-Alpes,Lycée Aristide Briand,Provence Alpes Côte d'Azur
Aix-Marseille,05,0050604E,"44.5626,6.079",Hautes-Alpes,I.U.T d'Aix-Marseille - Site de Gap,Provence Alpes Côte d'Azur
Aix-Marseille,05,0050607H,"44.5621,6.0791",Hautes-Alpes,Aix Marseille Université- Site de Gap,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130001F,"43.5114,5.4446",Bouches-du-Rhône,Lycée Emile Zola,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130002G,"43.534,5.4598598",Bouches-du-Rhône,Lycée Paul Cezanne,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130003H,"43.5299,5.4474",Bouches-du-Rhône,Lycée Vauvenargues,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130006L,"43.5205,5.4596",Bouches-du-Rhône,Lycée professionnel Gambetta,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130010R,"43.6977,4.6379",Bouches-du-Rhône,Lycée Montmajour,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130011S,"43.6726,4.629",Bouches-du-Rhône,Lycée Pasquet,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130036U,"43.2807,5.3806",Bouches-du-Rhône,Lycée Perier,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130037V,"43.2832,5.4337",Bouches-du-Rhône,Lycée Marcel Pagnol,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130039X,"43.306,5.3919",Bouches-du-Rhône,Lycée Saint Charles,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130040Y,"43.3058,5.366",Bouches-du-Rhône,Lycée Thiers,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130043B,"43.3052,5.3801",Bouches-du-Rhône,Lycée Victor Hugo,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130048G,"",Bouches-du-Rhône,Lycée Saint Exupery,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130049H,"43.2888,5.3652",Bouches-du-Rhône,Lycée Rempart (Rue Du),Provence Alpes Côte d'Azur
Aix-Marseille,13,0130050J,"43.3647,5.4253",Bouches-du-Rhône,Lycée Denis Diderot,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130051K,"43.2936,5.4004",Bouches-du-Rhône,Lycée Marie Curie,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130053M,"43.274254,5.4268",Bouches-du-Rhône,Lycée Jean Perrin,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130057S,"43.2847,5.4373",Bouches-du-Rhône,Lycée des métiers Rene Caillie,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130059U,"",Bouches-du-Rhône,Lycée professionnel Blaise Pascal,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130063Y,"43.2547,5.3855",Bouches-du-Rhône,Lycée professionnel Leau (Bd),Provence Alpes Côte d'Azur
Aix-Marseille,13,0130064Z,"43.2824,5.4037",Bouches-du-Rhône,Lycée professionnel Jean Baptiste Brochier,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130143K,"43.4163,5.0584",Bouches-du-Rhône,Lycée Paul Langevin,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130160D,"43.6383,5.0983",Bouches-du-Rhône,Lycée de L'Emperi,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130161E,"43.6371,5.0975",Bouches-du-Rhône,Lycée Adam De Craponne,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130172S,"43.2887,5.3645",Bouches-du-Rhône,Lycée professionnel Leonard De Vinci,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130175V,"43.2603,5.3869",Bouches-du-Rhône,Lycée Honore Daumier,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130189K,"43.5076,5.4452",Bouches-du-Rhône,"Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Aix-en-Provence  (CREPS)",Provence Alpes Côte d'Azur
Aix-Marseille,13,0130235K,"43.5161,5.444",Bouches-du-Rhône,Institut des Métiers du Notariat,Provence Alpes Côte d'Azur
Aix-Marseille,13,0130236L,"43.2299,5.4366",Bouches-du-Rhône,Ecole Nationale Supérieure d'Architecture de Marseille,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131319N,"43.5119,5.4336",Bouches-du-Rhône,Lycée Nativite (La),Provence Alpes Côte d'Azur
Aix-Marseille,13,0131331B,"",Bouches-du-Rhône,Lycée St Joseph Les Maristes,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131339K,"43.3019,5.3943",Bouches-du-Rhône,Lycée St Joseph De La Madeleine,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131341M,"43.283,5.3814",Bouches-du-Rhône,Lycée Notre Dame De Sion,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131391S,"43.5343,5.4505",Bouches-du-Rhône,Lycée St Eloi,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131398Z,"43.291762,5.3879147",Bouches-du-Rhône,Lycée Maximilien de Sully,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131402D,"43.288138,5.3746237",Bouches-du-Rhône,Lycée Charles Peguy,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131403E,"43.2875,5.3781",Bouches-du-Rhône,Lycée St Vincent De Paul,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131433M,"43.3658,5.3396",Bouches-du-Rhône,Lycée professionnel de St Henri,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131436R,"43.2864,5.4687",Bouches-du-Rhône,Lycée Modele Electronique,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131456M,"43.2627,5.4216",Bouches-du-Rhône,Lycée Pastré - Grande Bastide,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131485U,"43.6449,5.0949",Bouches-du-Rhône,Lycée professionnel LE ROCHER,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131549N,"43.2918,5.5614",Bouches-du-Rhône,Lycée Frederic Joliot-Curie,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131596P,"43.526838,5.4593237",Bouches-du-Rhône,Lycée Militaire d'Aix-en-Provence,Provence Alpes Côte d'Azur
Aix-Marseille,13,0131656E,"43.4684,5.4502",Bouches-du-Rhône,Lycée agricole Aix-Valabre,Provence Alpes Côte d'Azur
