Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
Accueil dans transports,536,490,47,46,4,326,22,28,4,51,69,5,91,5,32,14,421,64
Accueil d'excellence en tourisme,236,236,46,0,0,21,0,123,0,25,29,0,30,11,4,10,172,23
Accueil réception,2030,1801,254,228,30,1184,93,95,5,170,180,37,340,5,139,26,1520,162
"Action, commercialisation des services sportifs",1132,1021,335,111,26,72,14,455,20,41,46,8,55,29,3,9,212,16
Activités aquatiques et de la natation,1212,954,294,258,57,125,41,387,54,35,43,11,113,16,4,15,331,17
Activités de la forme,3581,2888,773,693,153,595,110,1066,129,23,27,12,76,5,6,12,819,16
Activités équestres,200,190,31,10,1,34,3,111,1,4,4,0,10,3,1,0,184,3
Activités gymniques,35,34,11,1,1,2,0,15,0,0,0,0,5,0,0,0,24,0
Activités gymniques forme et force,333,333,93,0,0,53,0,135,0,9,10,0,10,2,2,5,71,2
"Activités physiques et sportives adaptées : déficiences intellectuelles, troubles psychiques",414,414,111,0,0,38,0,151,0,13,21,0,20,6,3,4,246,16
Activités physiques et sportives et inadaptations sociales,380,380,93,0,0,56,0,146,0,14,23,0,20,6,3,5,184,13
Activités physiques pour tous,4598,4223,1295,374,83,926,73,1447,64,98,111,18,183,33,29,36,1009,21
Activités sports collectifs,1445,1363,463,82,26,305,12,448,10,9,15,0,22,2,3,4,189,0
Administration économique et sociale,66495,59412,8752,7029,1329,2173,982,37783,1048,7436,7818,2759,11724,4774,875,1787,39087,5853
Administration et Echanges internationaux,14188,9982,1027,4206,724,191,343,6820,1343,783,932,106,1070,676,5,102,8934,674
Administration publique,3432,3211,454,221,35,149,27,2084,42,197,238,32,385,144,26,27,1872,143
Aéronautique,12721,12719,3792,2,0,1728,0,4544,0,190,218,0,220,73,46,71,1428,38
Aéronautique - option avionique,177,164,2,13,0,145,11,6,0,26,23,3,36,0,26,0,10,1
Aéronautique option avions à moteur à pistons,94,94,1,0,0,87,0,1,0,15,16,0,18,0,14,1,6,3
Aéronautique option avions à moteur à turbines,650,645,3,5,0,591,5,6,0,70,73,0,90,0,70,0,27,3
Aéronautique option hélicoptère moteur à turbines,269,269,1,0,0,245,0,3,0,32,32,0,44,0,32,0,17,0
Agent de contrôle non destructif,17,15,0,2,0,14,1,0,0,7,7,0,15,0,7,0,1,0
Agroalimentaire,368,368,7,0,0,0,0,306,0,37,45,0,45,36,0,1,258,37
Agronomie : Productions végétales,6375,6187,1627,188,17,989,33,1236,30,448,509,46,729,117,122,209,1885,129
Aménagement finition,1109,1062,242,47,6,452,23,55,0,74,77,8,109,3,50,21,294,23
Aménagements paysagers,7411,7136,1741,271,54,2204,70,1073,34,684,774,56,1162,122,332,230,1802,229
Analyse des milieux biologiques,137,137,44,0,0,2,0,66,0,17,21,0,22,4,0,13,100,16
"Analyse, conduite et stratégie de l'entreprise agricole",12116,11884,4417,225,34,4937,78,1455,10,1785,1842,61,2455,194,903,688,4228,666
Analyses agricoles biologiques et biotechnologiques,6467,6193,2303,274,66,775,12,1631,44,568,648,30,758,212,101,255,4302,468
Analyses agricoles biologiques et biotechnologiques pour Bac pro agricole : accéder à une école d'ingénieur,74,61,7,13,0,23,3,8,1,4,4,0,12,0,4,0,34,3
Analyses de biologie médicale,29132,28154,11234,976,244,1343,76,7741,95,794,981,69,1093,188,56,550,22582,850
Animation,2626,2522,414,104,14,184,14,1151,23,44,68,3,71,27,3,14,1486,49
"Animation et gestion des activités physiques, sportives ou culturelles",5797,5463,1588,332,79,603,34,2405,84,272,329,30,394,114,44,114,1501,105
"Animation et gestion des activités sportives, physiques ou culturelles, parcours activités aquatiques",78,58,23,20,5,2,2,26,4,14,15,1,25,5,2,7,23,5
"Animation et gestion des activités sportives, physiques ou culturelles, parcours activités de pleine nature",210,160,44,50,10,20,3,61,12,37,47,2,75,18,7,12,43,6
"Animation et gestion des activités sportives, physiques ou culturelles, parcours agent de développement de club sportif",163,77,16,83,24,7,8,36,21,12,16,5,35,6,3,3,34,5
"Animation et gestion des activités sportives, physiques ou culturelles, parcours animation",271,230,61,41,11,19,3,84,5,15,30,0,37,8,2,5,93,12
Animation-gestion de projets dans le secteur sportif,1181,601,115,563,156,239,173,141,55,114,59,81,267,5,84,25,284,36
Année de Remise à Niveau Scientifique,504,422,79,82,14,40,9,213,13,44,47,8,128,24,6,14,274,29
Année de Réussite à Toulouse en Economie - Option économie gestion ou économie droit,219,161,8,56,6,4,13,130,14,43,36,12,60,40,0,3,107,24
Année préparatoire à l?École Nationale de la Marine Marchande - Officier 1ère classe,277,273,21,4,0,2,0,199,2,48,54,2,65,48,0,0,26,1
Année préparatoire à l?École Nationale de la Marine Marchande - Officier machine,45,33,9,12,2,2,0,12,5,8,5,5,24,2,0,6,3,0
Année préparatoire aux Etudes de Santé,922,693,152,228,66,62,32,376,59,65,60,5,80,35,13,17,756,55
Année Préparatoire aux Etudes Supérieures Scientifiques,547,318,19,227,15,6,15,216,83,55,43,31,180,46,0,9,255,31
